,seeds1,seeds2,moves,player1,player2
56522,17,27,45522411464464264326611164451143244532615113463161436121425,3346,5061
56524,27,6,45522411422622524153265541561251452453425416132436451652235144523315542546661516512,5061,3346
56525,30,4,45522411422622524152151311554455126665366344512,5061,7358
56526,28,11,45522411235411224354315341165461236141323326256452641326151442532554451662513,5061,1777
56528,6,34,455222453455214553554455224312326151254431614255666,3346,5061
56529,27,4,4552224111512244262153544126151651126634655,5061,2257
56550,27,2,45516233352313324353632465122536,5061,6556
56574,27,15,4551241255231544265514435564261535625142264415432544354662511524455234554354161516625122544556336,5061,3549
56577,32,6,4551214533352255324445331264511461215536144435412363243511225,5061,3771
56788,9,26,453254314455651314223453466526,1062,5061
56792,25,2,45325423651114611512,5061,5021
56842,25,15,453154323544132314524534235441345344526553666415,5061,1952
57123,12,25,4523541215542553411654235466516136426214315145561325416,8066,5061
57291,11,28,45234262334263532236435231564354534154255445536621433143133213442233462415163142231445365644556413524514255,2229,5061
57581,6,26,45216422211125142534122144326241556665534161516625,1062,5061
57599,2,26,4521542512153315123453154455662433541651,1062,5061
57637,17,25,452154121551611531156415215146615223423341536564421655642261436254324161516516,5495,5061
57641,15,26,4521541215214262513425115132625145116126556612213443526624334251661225,5495,5061
57826,6,25,45133145132215244314354665461361233246145511431526,1260,5061
57881,5,26,451254642314552255441355351352441365212514354325143255442533544556,246,5061
57898,29,6,451254231155445535142153415514256632241156445211226135,5061,1952
58093,14,26,44662435361146621566443511552132614153461512443161512552446,1441,5061
58100,17,25,4466233511413461161266351644153345615615344556254361133462441325243516514452251345344625165262415325143223554435465132436,5495,5061
58110,26,7,44662232412244333116431456455644135432534456156536226,5061,4284
58111,27,0,4466223164456344354654455623521433243536665,5061,5672
58112,18,26,446621364426613342114416153366211215433425466142334425166132233445166112234435465644364562133524356141516642511524355663251431255243344556316,7907,5061
58156,33,5,44643531162134152225341314363555344522433445164133442512433425466635264162115,5061,2791
58181,26,13,446426353135416122661143664555266251316,5061,3531
58191,26,7,44642536314341243542614256113165514,5061,2791
58194,33,9,4464253246453446611161435226645513522344316,5061,2791
58195,4,26,4464253135244342166133645443243216136,1062,5061
58209,11,26,44642522354226414511335531415126251432115245345543556621615,1062,5061
58245,11,26,44642336321462423146245425441225432514653631612213526,4998,5061
58246,7,26,44642332341344264233415645533253465446354612225542654161314526121645161352342,389,5061
58264,0,26,446422644111324124324555445532544556556655664124564556336,7907,5061
58277,15,25,446422363242642143114334415641532431554215443543253445653446651435432445366132432415366122334415266132431425365,3270,5061
58278,14,27,4464223632426421431143344156221654335544262536514254152354466,3270,5061
